repo_name,cbo_mean,cbo_median,cbo_std_dev,dit_mean,dit_median,dit_std_dev,lcom_mean,lcom_median,lcom_std_dev,loc_mean,loc_median,loc_std_dev
JsonPath,2.295,2.0,2.004,1.486,1.0,1.092,29.291,0.0,118.932,6.298,4.0,7.61
storm,1.326,1.0,1.533,1.288,1.0,0.926,33.071,1.0,133.141,6.464,3.0,8.462
Jetpack-MVVM-Best-Practice,1.974,2.0,1.861,1.622,1.0,1.073,12.0,0.0,68.968,6.28,3.0,8.136
StatusBarUtil,2.657,2.0,1.923,1.545,1.0,0.833,22.545,0.0,124.493,9.303,5.0,13.043
EhViewer,2.058,1.0,2.635,1.822,1.0,1.51,45.263,1.0,450.454,9.698,5.0,14.307
Android_Data,0.706,0.0,1.312,1.0,1.0,0.0,3.0,3.0,4.243,6.529,6.0,3.105
spring-security,2.816,2.0,2.522,1.249,1.0,0.76,10.902,0.0,61.341,5.974,4.0,5.354
cassandra,2.074,2.0,2.221,1.785,1.0,1.823,56.091,1.0,1327.197,6.978,4.0,9.475
Android-PullToRefresh,1.697,1.0,1.807,2.134,2.0,1.35,55.841,1.0,370.864,6.671,3.0,9.169
awesome-java-leetcode,1.215,1.0,0.734,1.0,1.0,0.0,1.167,1.0,0.692,10.241,7.0,8.401
SpringCloud,2.812,2.0,2.676,1.428,1.0,0.731,2.311,0.0,6.127,3.892,3.0,3.086
Android-SpinKit,1.703,1.0,1.766,3.169,2.0,2.467,21.521,1.0,134.57,5.293,3.0,5.641
Calligraphy,2.4,2.0,2.11,1.44,1.0,0.583,11.36,3.0,26.944,6.87,4.0,6.134
AndResGuard,1.289,1.0,1.729,1.5,1.0,0.864,22.379,1.5,44.337,10.627,4.5,17.495
junit4,1.94,1.0,1.684,1.464,1.0,1.05,12.961,0.0,130.539,4.823,3.0,3.931
epoxy,1.679,2.0,1.139,1.826,2.0,1.101,138.774,1.0,320.18,5.671,4.0,6.285
dropwizard,2.18,2.0,1.994,1.513,1.0,1.006,19.196,0.0,217.219,5.306,3.0,9.403
jna,1.849,1.0,2.201,2.364,2.0,4.32,44.963,0.0,515.972,6.874,3.0,12.323
react-native-image-picker,2.243,2.0,2.01,1.545,2.0,0.522,62.818,1.0,200.086,10.614,8.0,10.951
BottomBar,2.2,2.0,1.582,1.288,1.0,0.627,61.667,0.0,332.032,7.116,5.0,6.105
shenyu,1.66,1.0,2.092,1.242,1.0,0.6,17.141,1.0,65.298,5.44,3.0,5.655
