repo_name,cbo_mean,cbo_median,cbo_std_dev,dit_mean,dit_median,dit_std_dev,lcom_mean,lcom_median,lcom_std_dev,loc_mean,loc_median,loc_std_dev
leetcode-editor,2.041,1.0,2.691,1.738,1.0,1.175,20.136,0.0,113.552,8.521,3.0,11.364
java-tron,2.665,2.0,3.049,1.818,1.0,2.078,75.039,1.0,1157.767,10.849,5.0,18.338
novel-plus,1.78,1.0,2.11,1.213,1.0,0.468,46.36,0.0,124.003,3.994,3.0,5.872
AndServer,1.527,1.0,1.793,1.542,1.0,1.193,48.051,1.0,244.822,6.605,3.0,11.268
NoHttp,1.364,1.0,1.628,1.5,1.0,0.805,45.649,1.0,302.143,5.446,3.0,8.148
markor,1.999,1.0,2.318,1.509,1.0,1.0,133.956,1.0,1039.886,9.229,5.0,15.165
ripme,1.453,1.0,1.572,2.69,2.0,1.303,28.702,3.0,89.805,8.754,4.0,15.057
StylishMusicPlayer,1.692,1.0,1.651,1.309,1.0,0.65,13.216,0.0,40.407,5.853,3.0,6.346
fastjson2,1.501,1.0,1.989,1.191,1.0,0.987,294.494,0.0,21145.165,9.521,3.0,31.094
atmosphere,1.893,1.0,2.335,1.308,1.0,0.809,55.026,1.0,591.174,7.166,3.0,10.566
ASimpleCache,1.619,2.0,1.142,1.448,1.0,0.632,38.517,0.0,109.503,7.982,4.0,8.062
bitcoin-wallet,2.344,2.0,2.58,1.713,1.0,1.121,5.483,0.0,21.786,9.39,4.0,15.776
ChatKit,1.608,1.0,1.592,2.898,2.0,4.832,35.481,0.0,135.543,5.454,3.0,5.501
rejoiner,2.828,2.0,2.402,1.573,1.0,1.045,4.924,0.0,14.935,6.825,4.0,7.493
Skeleton,1.567,1.0,1.415,1.242,1.0,0.502,4.606,0.0,14.506,5.811,4.0,5.869
groupie,2.499,2.0,1.883,1.828,1.0,1.007,29.903,0.0,141.478,5.677,4.0,4.905
Play-with-Algorithms,0.925,1.0,1.181,1.008,1.0,0.087,5.203,0.0,20.64,7.401,6.0,5.924
ByteLegend,1.024,1.0,0.556,1.003,1.0,0.058,727.844,20.0,2317.183,5.927,3.0,16.755
android-common,1.406,1.0,1.266,1.247,1.0,0.596,124.353,1.0,700.444,8.436,4.0,11.032
incubator-heron,1.89,1.0,2.168,1.466,1.0,0.906,20.748,1.0,185.35,6.681,3.0,7.871
Linkage-RecyclerView,1.89,1.0,2.361,1.547,1.0,0.722,10.387,1.0,24.499,5.246,3.0,6.334
My-Blog,1.305,0.0,2.138,1.052,1.0,0.394,29.552,5.0,62.485,4.857,3.0,6.802
kylin,2.389,2.0,2.471,1.501,1.0,0.834,131.414,1.0,4985.633,9.225,5.0,10.324
databus,1.777,1.0,2.908,1.357,1.0,0.798,46.735,0.0,228.178,9.223,3.0,18.714
Aliucord,2.254,2.0,3.027,1.488,1.0,0.811,75.325,0.0,383.352,6.993,3.0,13.778
NullAway,2.199,2.0,2.493,1.208,1.0,0.481,42.787,0.0,264.899,6.044,3.0,10.895
react-native-share,1.533,1.0,2.329,2.073,2.0,0.905,8.61,8.0,11.371,7.939,3.0,11.715
emojicon,1.705,1.0,1.674,1.564,1.0,0.788,6.769,0.0,12.985,15.687,4.0,114.599
light-4j,1.597,1.0,1.844,1.172,1.0,0.577,24.32,0.0,126.743,8.478,4.0,11.727
ExplosionField,2.172,2.0,1.91,1.5,1.5,0.527,4.3,0.0,10.393,8.897,4.0,7.203
ShedLock,1.942,2.0,1.687,2.022,1.5,1.595,6.821,0.0,21.533,4.708,3.0,3.563
DropDownMenu,1.898,1.0,2.275,1.368,1.0,0.496,2.158,0.0,4.246,8.571,4.0,11.332
BannerViewPager,1.841,1.0,1.87,1.411,1.0,0.723,46.466,0.0,218.98,5.945,4.0,5.873
android-stackblur,1.775,1.0,1.476,1.098,1.0,0.374,0.585,0.0,1.897,13.725,4.5,24.606
undertow,1.857,1.0,2.301,1.232,1.0,0.706,35.974,0.0,494.795,8.925,3.0,15.603
sofa-jraft,1.791,1.0,2.194,1.46,1.0,1.062,74.636,1.0,312.048,7.228,3.0,9.832
data-transfer-project,2.709,2.0,3.087,1.257,1.0,0.727,7.182,0.0,22.196,7.311,4.0,8.081
parceler,2.157,1.0,2.721,1.35,1.0,1.321,16.589,0.0,219.619,5.11,3.0,8.624
pixel-dungeon,1.629,1.0,2.713,2.545,2.0,1.652,12.423,1.0,61.688,8.405,4.0,11.273
chatgpt-java,3.422,3.0,2.493,1.1,1.0,0.361,11.93,0.0,137.903,5.828,4.0,6.848
FlexibleAdapter,1.976,1.0,2.112,2.113,1.0,1.641,102.31,1.0,1467.202,6.865,4.0,8.073
JCTools,1.897,2.0,1.728,3.909,2.5,3.362,19.966,0.0,82.093,7.837,3.0,9.246
netty-learning,1.655,1.0,1.94,1.65,1.0,1.126,39.249,1.0,377.979,8.088,3.0,15.149
NewbieGuide,2.163,2.0,1.805,1.179,1.0,0.419,10.436,0.0,65.121,6.884,4.0,10.265
MagicaSakura,2.271,2.0,1.879,1.679,2.0,1.194,25.44,3.0,73.533,8.002,6.0,9.65
Android-BluetoothKit,1.676,1.0,1.519,1.249,1.0,0.513,18.701,0.0,75.066,6.275,4.0,6.372
android-maps-utils,2.122,2.0,2.012,1.623,1.0,0.902,37.264,1.0,144.675,7.441,4.0,8.34
ThreeTenABP,2.0,2.0,0.966,1.429,1.0,0.535,1.429,0.0,2.299,6.125,4.5,4.759
retrolambda,1.392,1.0,1.999,1.412,1.0,0.924,9.004,0.0,43.567,5.462,3.0,5.056
floatingsearchview,1.679,1.0,1.893,1.178,1.0,0.471,26.281,0.0,242.919,8.508,4.0,15.037
AppUpdate,1.473,1.0,1.446,1.156,1.0,0.407,37.141,1.0,112.163,6.675,4.0,8.016
spock,1.917,1.0,2.084,1.455,1.0,1.11,34.688,1.0,185.58,5.214,3.0,5.389
hackpad,1.766,1.0,2.009,1.806,1.0,1.361,152.299,1.0,963.645,12.598,5.0,33.347
vertx-examples,1.911,1.0,1.661,1.742,2.0,0.438,1.344,1.0,3.404,8.544,4.0,8.783
RecyclerViewPager,1.775,2.0,1.637,1.493,1.0,0.715,9.972,0.0,59.924,9.554,4.0,13.815
Store,2.998,3.0,2.383,1.562,1.0,3.139,17.055,1.0,124.666,5.389,3.0,6.267
shopizer,2.049,1.0,3.186,1.683,1.0,0.98,34.163,2.0,130.952,6.097,3.0,13.395
Music-Player,1.461,1.0,1.372,1.75,2.0,0.803,5.031,0.5,9.767,5.365,3.0,4.243
tablesaw,2.347,2.0,2.224,1.274,1.0,0.585,109.238,1.0,482.43,6.09,4.0,6.826
mlkit,2.325,2.0,2.409,1.494,1.0,0.585,7.511,0.0,31.955,9.974,5.0,12.592
jackson-databind,2.048,2.0,1.933,1.708,1.0,1.772,24.774,0.0,422.355,6.582,3.0,8.111
OpenPDF,1.927,1.0,2.477,1.596,1.0,1.223,90.963,1.0,563.593,11.837,4.0,22.572
SwipeMenuListView,1.309,1.0,1.645,1.455,1.0,0.754,15.242,1.0,40.261,7.204,3.0,11.892
RoaringBitmap,2.473,2.0,1.69,1.126,1.0,0.438,260.604,0.0,1877.937,10.73,7.0,11.389
bundletool,3.412,3.0,2.764,1.267,1.0,1.211,81.173,6.0,507.381,5.822,4.0,5.646
GeekNews,1.541,1.0,1.898,1.446,1.0,0.917,10.009,0.0,37.65,5.513,3.0,7.828
BlurView,1.752,2.0,1.595,1.5,1.0,0.745,5.75,2.0,8.652,4.602,3.0,3.947
grpc-spring,2.145,2.0,2.07,1.478,1.0,1.158,5.33,0.0,22.875,5.964,3.0,5.773
LoadSir,2.251,2.0,2.374,1.554,1.5,0.6,4.014,0.0,11.99,5.596,3.0,5.746
libstreaming,1.055,1.0,1.388,1.416,1.0,0.864,23.292,0.0,66.564,10.771,5.0,14.97
JavaSourceCodeLearning,1.081,1.0,1.702,1.259,1.0,0.473,3.139,0.0,9.482,6.126,3.0,6.163
spotbugs,1.563,1.0,2.112,1.379,1.0,0.919,27.0,0.0,377.896,8.629,4.0,30.161
PreviewSeekBar,1.606,1.0,1.474,1.174,1.0,0.388,28.174,1.0,64.217,5.756,3.0,7.149
BottomNavigationViewEx,1.735,2.0,1.178,1.586,1.0,0.733,50.138,0.0,185.897,7.993,7.0,7.284
spring-cloud-kubernetes,3.211,2.0,3.076,1.239,1.0,0.542,5.243,0.0,29.793,7.064,5.0,6.006
SeeWeather,1.652,1.0,1.901,1.538,1.0,1.197,6.123,1.0,14.984,7.039,3.0,7.557
JavaEETest,1.082,1.0,1.383,1.078,1.0,0.269,3.266,0.0,9.689,3.944,3.0,3.359
grobid,1.742,1.0,2.525,1.234,1.0,0.568,126.608,0.0,1902.563,13.85,3.0,41.956
ShadowLayout,2.298,2.0,1.82,1.171,1.0,0.382,19.971,1.0,110.854,15.769,6.0,23.774
android-hidden-api,1.965,2.0,1.636,1.0,1.0,0.0,56.5,0.5,112.334,4.141,3.0,2.489
AlgoDS,1.037,1.0,0.829,1.004,1.0,0.065,1.411,0.0,4.1,11.176,8.0,9.6
giffun,1.961,1.0,2.177,1.278,1.0,0.664,25.339,1.0,126.866,6.763,4.0,9.374
initializr,2.542,2.0,2.359,1.268,1.0,0.625,32.897,1.0,169.881,5.559,4.0,4.344
immutables,1.804,1.0,1.905,1.284,1.0,1.156,28.842,0.0,529.277,4.854,3.0,7.094
RxAndroidBle,1.921,1.0,1.882,1.316,1.0,0.904,53.816,0.0,622.579,5.002,3.0,6.496
Android-Week-View,0.97,1.0,1.407,1.259,1.0,0.594,238.333,0.0,1189.258,8.405,3.0,15.924
brigadier,2.501,2.0,2.263,1.153,1.0,0.394,44.553,0.0,231.113,5.584,3.0,5.443
fernflower,2.058,1.0,2.933,1.217,1.0,0.613,33.774,0.0,450.578,17.076,3.0,167.143
android-priority-jobqueue,2.142,2.0,2.23,1.718,1.0,1.306,10.839,0.0,44.999,7.347,4.0,9.281
ftgo-application,1.397,1.0,1.814,1.189,1.0,0.639,8.192,0.0,31.007,3.891,3.0,2.443
LQRWeChat,1.316,1.0,1.884,1.409,1.0,0.758,18.935,1.0,74.028,7.187,3.0,11.905
migration,1.308,1.0,0.48,1.0,1.0,0.0,0.083,0.0,0.289,5.923,6.0,3.252
QNotified,1.849,1.0,2.326,1.63,1.0,1.22,47.767,0.0,505.761,11.895,4.0,22.134
yacy_search_server,1.77,1.0,2.542,1.387,1.0,0.782,43.033,0.0,230.118,13.326,5.0,29.793
android-butterknife-zelezny,1.86,1.0,2.374,1.659,1.0,1.257,11.317,0.0,33.9,8.35,3.0,11.196
volley,2.468,2.0,2.441,1.697,1.0,2.247,12.286,0.0,80.619,7.742,5.0,8.067
AutoDispose,2.51,2.0,2.281,1.376,1.0,0.734,20.767,1.0,60.317,6.457,3.0,9.517
MyBatis-Spring-Boot,1.455,0.0,1.853,1.25,1.0,0.444,5.2,0.0,17.105,4.273,3.0,2.619
akhq,2.682,2.0,2.43,1.298,1.0,0.534,29.962,0.0,151.005,7.434,4.0,8.397
marshalsec,2.211,2.0,1.792,1.819,1.0,1.025,14.5,1.0,39.028,7.029,4.0,7.898
BubbleSeekBar,1.424,1.0,1.806,1.3,1.0,0.535,91.7,1.0,427.334,9.953,4.0,19.119
http-request,1.981,2.0,1.082,1.113,1.0,0.713,78.506,0.0,1015.381,8.134,4.0,6.509
logging-log4j2,1.797,1.0,1.787,1.519,1.0,1.451,46.217,1.0,1276.11,6.616,3.0,8.514
syncthing-android,2.019,1.0,1.903,1.69,1.0,1.125,9.049,0.0,24.89,10.361,6.0,11.924
MyPerf4J,1.325,1.0,1.64,1.173,1.0,0.379,10.611,1.0,40.44,6.587,3.0,7.493
pdfsam,2.476,2.0,2.009,1.399,1.0,0.992,4.739,0.0,21.569,6.149,5.0,5.306
DDComponentForAndroid,1.387,1.0,1.52,1.314,1.0,0.648,6.706,0.0,18.845,7.262,4.0,8.879
ScalingLayout,1.654,1.0,1.727,1.222,1.0,0.424,4.333,0.0,15.259,7.103,3.0,9.611
archi,1.678,1.0,1.706,1.229,1.0,0.423,1.529,0.0,3.006,6.153,4.0,5.58
red5-server,1.26,1.0,1.939,1.412,1.0,0.828,53.759,1.0,367.032,8.044,3.0,15.302
Iris,1.965,1.0,2.615,1.319,1.0,0.878,21.669,0.0,142.82,7.163,3.0,14.3
ffmpeg-android-java,1.017,1.0,1.22,1.447,1.0,0.717,7.723,1.0,23.498,6.531,3.0,6.904
FlatLaf,1.087,1.0,1.342,3.712,2.0,4.177,63.455,3.0,355.453,9.905,4.0,28.839
learning-note,1.028,1.0,1.279,1.173,1.0,0.547,2.894,0.0,21.75,6.641,4.0,6.346
AxonFramework,2.413,2.0,2.342,1.301,1.0,0.84,16.034,0.0,106.148,5.595,3.0,5.339
jvm-tools,1.459,1.0,1.646,1.207,1.0,0.736,20.648,0.0,132.89,7.82,3.0,10.578
chatgpt-java,3.422,3.0,2.493,1.1,1.0,0.361,11.93,0.0,137.903,5.828,4.0,6.848
igniter,1.647,1.0,1.812,1.22,1.0,0.535,15.808,0.0,63.011,6.692,3.0,11.807
99-problems,1.636,2.0,0.878,1.0,1.0,0.0,1.684,0.0,2.919,6.261,5.0,4.32
SuperTextView,1.535,1.0,1.487,1.15,1.0,0.381,86.583,0.0,893.193,8.747,4.0,14.847
jvm-serializers,1.68,1.0,1.999,1.696,1.0,1.092,45.059,1.0,185.231,7.745,3.0,14.115
SurveyKing,2.759,2.0,2.644,1.23,1.0,0.541,7.825,0.0,38.635,7.654,3.0,11.499
LeafPic,1.867,1.0,2.139,1.459,1.0,0.84,21.847,1.0,71.398,7.83,4.0,13.048
Chronicle-Queue,1.749,1.0,1.977,1.605,1.0,0.87,166.833,0.0,2144.342,6.966,3.0,9.833
UETool,2.167,1.5,2.135,1.743,1.0,1.787,7.965,0.0,32.52,7.689,4.0,10.685
hope-boot,1.929,1.0,2.5,1.264,1.0,0.68,6.273,0.0,22.939,5.249,3.0,7.783
PRDownloader,1.185,1.0,1.922,1.044,1.0,0.234,9.544,0.0,72.721,10.103,3.0,18.099
springdoc-openapi,1.913,1.0,2.707,1.322,1.0,0.64,10.47,0.0,110.929,4.446,3.0,9.548
maestro,2.649,2.0,2.147,1.635,1.0,0.912,32.85,0.0,414.091,9.099,5.0,12.733
sndcpy,2.15,2.0,1.309,2.0,2.0,0.816,20.25,0.0,40.5,8.7,7.0,5.966
ChipsLayoutManager,1.824,1.0,1.753,1.326,1.0,0.605,17.36,0.0,115.723,4.731,3.0,4.72
Cockroach,1.846,2.0,1.434,1.175,1.0,0.384,3.333,0.0,6.888,9.765,6.0,14.236
Android-Tips,0.667,0.0,1.231,1.0,1.0,0.0,0.571,1.0,0.535,13.333,10.5,12.01
librec,2.002,1.0,2.295,2.058,2.0,1.193,24.649,1.0,109.145,10.245,5.0,15.858
jfinal,1.368,1.0,1.638,1.487,1.0,0.822,79.539,1.0,618.598,6.701,3.0,8.965
react-native-notifications,1.989,1.0,1.94,1.353,1.0,0.627,10.98,1.0,30.556,5.008,3.0,4.124
my-site,2.152,1.0,3.026,1.189,1.0,0.495,34.689,0.0,169.63,6.787,4.0,7.327
cyberduck,2.11,1.0,3.63,1.359,1.0,0.781,66.359,0.0,1022.274,6.283,3.0,9.017
javacore,0.672,0.0,0.894,1.126,1.0,0.473,1.734,0.0,11.427,7.062,5.0,5.974
concurrency-limits,2.059,1.0,2.278,1.286,1.0,0.714,7.667,1.0,16.835,6.473,4.0,8.196
GalleryFinal,1.545,1.0,1.894,1.427,1.0,0.775,45.534,1.0,210.402,7.798,4.0,13.182
android-saripaar,1.503,1.0,1.96,1.892,2.0,0.912,11.791,0.0,75.661,6.625,4.0,6.148
AndroidViewHover,1.766,1.0,1.379,1.211,1.0,0.535,65.368,1.0,278.647,5.947,3.0,8.459
LoganSquare,1.944,2.0,1.7,1.75,1.0,0.987,8.651,0.0,45.583,10.452,4.0,25.064
